tenant,item,question_x_id,x_plus_0,x_plus_x,x_minus_0,zero_minus_x,x_minus_x,x_into_x,x_into_0,zero_end_n1,zero_mid_n1,zero_end_quotient_no_zero_n1,zero_mid_quotient_no_zero_n1
Delhi,Addition|1D+1D sum upto 20|Fib||3|8,q_add_00122_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||3|9,q_add_04197_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||4|7,q_add_04193_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||6|6,q_dlg1_add_80002_b,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||6|8,q_add_04198_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||7|7,q_add_00126_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||7|9,q_add_04194_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||8|5,q_dlg1_add_04195_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||8|6,q_add_00123_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||9|3,q_add_00125_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 20|Fib||9|9,q_dlg1_add_04199_b,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||0|6,q_add_04192_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||0|8,q_add_00077_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||1|4,q_add_04191_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||2|5,q_add_00080_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||2|7,q_dlg1_add_04188_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||4|0,q_add_04190_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||5|2,q_add_00078_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||5|3,q_add_04189_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||6|3,q_add_00081_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|1D+1D sum upto 9|Fib||7|0,q_add_00079_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||17|69,q_addv2_0331_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||28|38,q_dlg2_addv2_0330,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||3|69,q_addv2_0333_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||49|25,q_addv2_0329_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||64|18,q_dlg2_addv2_0328,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition with carry|Fib||9|57,q_addv2_0334_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition without carry|Fib||14|2,q_addv2_0006_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition without carry|Fib||30|59,q_dlg2_addv2_0003,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition without carry|Fib||3|60,q_addv2_0007_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition without carry|Fib||64|35,q_addv2_0004_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2-digit Addition without carry|Fib||72|25,q_addv2_0005_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||11|2,q_add_80003_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||12|3,q_add_80004_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||13|4,q_add_80005_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||14|5,q_add_80006_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||15|4,q_add_80007_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||1|18,q_add_80010_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||2|17,q_add_80009_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||3|16,q_dlg1_add_80008_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||6|13,q_add_80011_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|2D+1D sum up to 20|Fib||8|12,q_add_80012_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||164|76,q_dlg3_add_04218_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||289|578,q_dlg3_add_80027_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||458|60,q_add_00865_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||468|58,q_add_80031_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||48|77,q_add_00863_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||528|259,q_add_80029_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||548|7,q_add_00868_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||58|60,q_add_00867_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||689|213,q_add_80030_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||6|187,q_dlg3_add_04214_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||725|109,q_add_04220_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||729|119,q_add_80028_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||745|245,q_add_00864_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||812|39,q_add_04217_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||89|78,q_add_04213_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||89|826,q_add_04219_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||94|9,q_add_00866_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||9|199,q_add_80032_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition with carry|Fib||9|99,q_add_04215_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||189|10,q_add_00788_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||201|292,q_add_04223_z,1,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||21|328,q_add_04216_z,0,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||21|348,q_add_80026_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||231|407,q_add_80025_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||300|500,q_add_04221_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||415|550,q_add_04222_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||415|553,q_dlg3_add_80024_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||732|230,q_add_00786_z,1,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||7|602,q_add_00787_z,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|3-digit Addition without carry|Fib||900|9,q_add_04212_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|4-digit Addition with carry|Fib||1462|7939,q_dlg4_add_80037_b,0,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|4-digit Addition with carry|Fib||1543|490,q_add_01210_z,1,0,0,0,0,0,0,0,0,0,0
Delhi,Addition|4-digit Addition with carry|Fib||29|1509,q_add_01209_z,1,1,0,0,0,0,0,0,0,0,0
Delhi,Addition|4-digit Addition with carry|Fib||3549|4929,q_add_80036_z,0,1,0,0,0,0,0,0,0,0,0
